date,feature_index,NO2
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,9.577280070516281E-5
2026-01-02T00:00:00.000Z,0,3.826976353593636E-5
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,6.928641381488309E-5
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,5.249594323686324E-5
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,2.995435660641701E-5
2026-02-12T00:00:00.000Z,0,3.121911322523374E-5
2026-02-17T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,5.7733734138309956E-5
2026-08-07T00:00:00.000Z,0,2.557000450244893E-5
2026-08-09T00:00:00.000Z,0,2.6821624983726494E-5
2026-08-08T00:00:00.000Z,0,3.2737223949824866E-5
2026-08-13T00:00:00.000Z,0,4.3085000001927696E-5
2026-08-12T00:00:00.000Z,0,3.031528313206791E-5
2026-08-11T00:00:00.000Z,0,4.235629500687102E-5
2026-08-14T00:00:00.000Z,0,5.5369236812993854E-5
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2026-05-02T00:00:00.000Z,0,3.9952049659265096E-5
2026-04-26T00:00:00.000Z,0,2.997249456518947E-5
2026-04-25T00:00:00.000Z,0,2.5751280866119707E-5
2026-05-01T00:00:00.000Z,0,6.057554855942726E-5
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,8.597069981735533E-6
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,3.2843735569162835E-5
2025-08-25T00:00:00.000Z,0,4.914385741964603E-5
2025-08-26T00:00:00.000Z,0,5.955956448539809E-5
2025-08-27T00:00:00.000Z,0,4.250263737048954E-5
2025-08-24T00:00:00.000Z,0,4.0330991435874474E-5
2025-08-23T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,5.510728199927447E-5
2025-12-10T00:00:00.000Z,0,5.342750036537549E-5
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,4.8051856113791774E-5
2025-12-12T00:00:00.000Z,0,3.744092568272858E-5
2025-12-13T00:00:00.000Z,0,4.69037884613499E-5
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-05-21T00:00:00.000Z,0,2.2724060568869003E-5
2026-05-19T00:00:00.000Z,0,3.227229535696097E-5
2026-05-23T00:00:00.000Z,0,5.1126894781507715E-5
2026-05-25T00:00:00.000Z,0,6.666802801191807E-5
2026-05-26T00:00:00.000Z,0,4.643391518281229E-5
2026-05-20T00:00:00.000Z,0,3.7926648095284086E-5
2026-05-22T00:00:00.000Z,0,5.6366251101280795E-5
2026-05-24T00:00:00.000Z,0,3.925213257554622E-5
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,3.720410131791141E-5
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,4.4470654150548704E-5
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,
2026-06-03T00:00:00.000Z,0,6.100848336895329E-5
2026-05-29T00:00:00.000Z,0,6.137035387310836E-5
2026-06-02T00:00:00.000Z,0,5.3165704775892665E-5
2026-06-01T00:00:00.000Z,0,4.2222093422121056E-5
2026-05-30T00:00:00.000Z,0,
2026-05-28T00:00:00.000Z,0,5.188424646413685E-5
2026-05-27T00:00:00.000Z,0,6.95980590881802E-5
2026-05-31T00:00:00.000Z,0,4.126526400796138E-5
2026-06-13T00:00:00.000Z,0,3.507439379807858E-5
2026-06-16T00:00:00.000Z,0,2.9719385786324203E-5
2026-06-15T00:00:00.000Z,0,5.459428713507033E-5
2026-06-19T00:00:00.000Z,0,4.651192350799895E-5
2026-06-18T00:00:00.000Z,0,4.207869923530697E-5
2026-06-14T00:00:00.000Z,0,3.174599643784859E-5
2026-06-17T00:00:00.000Z,0,3.427379452301521E-5
2026-06-12T00:00:00.000Z,0,
2026-07-31T00:00:00.000Z,0,2.9891593595283877E-5
2026-08-01T00:00:00.000Z,0,2.0328545856913976E-5
2026-08-06T00:00:00.000Z,0,3.9401661441925995E-5
2026-07-30T00:00:00.000Z,0,3.4824783352423066E-5
2026-08-04T00:00:00.000Z,0,2.9177205788349084E-5
2026-08-05T00:00:00.000Z,0,2.1605805545043427E-5
2026-08-02T00:00:00.000Z,0,1.0124775644037458E-5
2026-08-03T00:00:00.000Z,0,2.0530095946124867E-5
2026-08-16T00:00:00.000Z,0,2.6156363426046234E-5
2026-08-21T00:00:00.000Z,0,2.6630831212749012E-5
2026-08-18T00:00:00.000Z,0,2.0441411641403455E-5
2026-08-15T00:00:00.000Z,0,3.336642294016201E-5
2026-08-19T00:00:00.000Z,0,2.5197479000339765E-5
2026-08-22T00:00:00.000Z,0,3.202802362824458E-5
2026-08-17T00:00:00.000Z,0,1.551765209032138E-5
2026-08-20T00:00:00.000Z,0,2.166712905212383E-5
2026-04-06T00:00:00.000Z,0,2.4340877037805814E-5
2026-04-02T00:00:00.000Z,0,2.0098246386623943E-5
2026-04-05T00:00:00.000Z,0,2.438282327795715E-5
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,2.3212005544337444E-5
2026-04-01T00:00:00.000Z,0,2.6259518535604883E-5
2026-04-03T00:00:00.000Z,0,2.3519552114797108E-5
2026-04-07T00:00:00.000Z,0,
2026-07-07T00:00:00.000Z,0,4.135294147999957E-5
2026-07-08T00:00:00.000Z,0,4.171931862271906E-5
2026-07-06T00:00:00.000Z,0,3.1158126148511656E-5
2026-05-15T00:00:00.000Z,0,3.569510978801797E-5
2026-05-17T00:00:00.000Z,0,5.2319832017625835E-5
2026-05-11T00:00:00.000Z,0,2.583807407297696E-5
2026-05-16T00:00:00.000Z,0,5.0938035201397724E-5
