date,HCHO
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,0.00015894410898908973
2023-01-05,0.00011772137077059595
2023-01-06,
2023-01-07,0.0003446048649493605
2023-01-08,0.0005872803740203381
2023-01-09,
2023-01-10,
2023-01-11,2.689120992727112e-05
2023-01-12,
2023-01-13,
2023-01-14,0.00025956222089007497
2023-01-15,0.000374584982637316
2023-01-16,0.0003407979675102979
2023-01-17,
2023-01-18,7.721867405052762e-06
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,0.0003456411359366029
2023-01-24,0.00027749553555622697
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,0.0004144143604207784
2023-01-30,0.0004371297545731068
2023-01-31,0.00023888549185357988
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-11,
2023-02-12,
2023-02-13,
2023-02-14,0.0002427786821499467
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-18,
2023-02-19,0.00015992535918485373
2023-02-20,0.00032433943124488
2023-02-21,0.0001711588993202895
2023-02-22,
2023-02-23,
2023-02-24,0.00026121875271201134
2023-02-25,
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,0.00034069723915308714
2023-03-04,
2023-03-05,
2023-03-06,0.0001630641199881211
2023-03-07,0.00043178568012081087
2023-03-08,0.0003046498459298164
2023-03-09,
2023-03-10,
2023-03-11,0.00016561771917622536
2023-03-12,
2023-03-13,
2023-03-14,
2023-03-15,0.00015559568419121206
2023-03-16,
2023-03-17,0.00028189641307108104
2023-03-18,4.50498700956814e-05
2023-03-19,-0.00010380481398897246
2023-03-20,
2023-03-21,
2023-03-22,-3.918103539035656e-05
2023-03-23,
2023-03-24,
2023-03-25,
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,
2023-04-02,
2023-04-03,0.00015257482300512493
2023-04-04,
2023-04-05,-5.497868187376298e-06
2023-04-06,
2023-04-07,0.000493953819386661
2023-04-08,0.000281927059404552
2023-04-09,0.00019815955602098256
2023-04-10,
2023-04-11,7.00311065884307e-05
2023-04-12,0.00013005499204155058
2023-04-13,
2023-04-14,0.00015188120596576482
2023-04-15,
2023-04-16,
2023-04-17,0.0001046145989676006
2023-04-18,8.180382428690791e-05
2023-04-19,0.00016261031851172447
2023-04-20,0.00033471276401542127
2023-04-21,
2023-04-22,5.494606011779979e-05
2023-04-23,0.00016471778508275747
2023-04-24,0.00017936383665073663
2023-04-25,6.057928476366215e-05
2023-04-26,
2023-04-27,6.046396811143495e-05
2023-04-28,
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,1.1081636330345646e-05
2023-05-03,8.478334348183125e-05
2023-05-04,2.0938392481184565e-05
2023-05-05,-3.48323883372359e-05
2023-05-06,-1.786629218258895e-05
2023-05-07,
2023-05-08,0.0004666235181502998
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,0.00017709427629597485
2023-05-13,
2023-05-14,0.0001842702185967937
2023-05-15,0.0003734106430783868
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,0.00021545651543419808
2023-05-20,0.0002137687260983512
2023-05-21,0.0001621572155272588
2023-05-22,0.00013216753723099828
2023-05-23,7.850069232517853e-05
2023-05-24,3.028480205102824e-05
2023-05-25,0.00013586152635980395
2023-05-26,0.00011882148828590287
2023-05-27,0.0001095509942388162
2023-05-28,0.00011164318129885942
2023-05-29,
2023-05-30,-5.718954525946174e-06
2023-05-31,0.0001418979518348351
2023-06-01,5.603148747468367e-05
2023-06-02,-0.00025599770015105605
2023-06-03,0.00022335971880238503
2023-06-04,7.113468745956197e-05
2023-06-05,
2023-06-06,0.0002674297720659524
2023-06-07,6.866588955745101e-05
2023-06-08,0.0001092463280656375
2023-06-09,0.0002356457698624581
2023-06-10,0.00014164870663080364
2023-06-11,0.00015916710253804922
2023-06-12,0.0001934730535140261
2023-06-13,0.00014078570529818535
2023-06-14,9.91926935967058e-05
2023-06-15,
2023-06-16,0.0002040479885181412
2023-06-17,0.0003631567233242095
2023-06-18,6.687435234198347e-05
2023-06-19,0.00016267648607026786
2023-06-20,
2023-06-21,0.00011522840213729069
2023-06-22,0.0003559643228072673
2023-06-23,2.084798688883893e-05
2023-06-24,-2.807987584674265e-05
2023-06-25,0.00030133925611153245
2023-06-26,0.0004207471793051809
2023-06-27,0.00030588367371819913
2023-06-28,0.00023441712255589664
2023-06-29,4.805697608389892e-05
2023-06-30,6.08916197961662e-05
2023-07-01,
2023-07-02,
2023-07-03,0.00025326991453766823
2023-07-04,
2023-07-05,
2023-07-06,4.344528497313149e-05
2023-07-07,
2023-07-08,
2023-07-09,0.00016569765284657478
2023-07-10,0.00019710812193807212
2023-07-11,0.0003349898324813694
2023-07-12,0.00019311712821945548
2023-07-13,0.0003625994431786239
2023-07-14,0.0001837025920394808
2023-07-15,0.0002485421719029546
2023-07-16,0.00028600700898095965
2023-07-17,0.00019869279640261084
2023-07-18,0.00013731462240684775
2023-07-19,0.00023631453223060817
2023-07-20,0.000397246825741604
2023-07-21,0.00022844453633297235
2023-07-22,0.00016930812853388488
2023-07-23,0.00015767445438541472
2023-07-24,0.00018173498392570764
2023-07-25,0.0003358207468409091
2023-07-26,
2023-07-27,0.00037392121157608926
2023-07-28,7.22016702638939e-05
2023-07-29,-8.982911822386086e-05
2023-07-30,8.59059946378693e-05
2023-07-31,8.520035771653056e-05
2023-08-01,0.0001162267435574904
2023-08-02,1.3655271686729977e-05
2023-08-03,0.0002530174679122865
2023-08-04,0.00030734308529645205
2023-08-05,0.0002635782293509692
2023-08-06,8.632784010842443e-05
2023-08-07,0.0002629271475598216
2023-08-08,-4.980440280633047e-05
2023-08-09,-0.0002564862952567637
2023-08-10,0.0005139165441505611
2023-08-11,0.00023015816987026483
2023-08-12,0.00012538809096440673
2023-08-13,0.00036420466494746506
2023-08-14,0.00034420020529069006
2023-08-15,0.00015980046009644866
2023-08-16,0.00035579080577008426
2023-08-17,0.0002256440493511036
2023-08-18,0.00033885054290294647
2023-08-19,0.00028037148877047
2023-08-20,0.00035365458461456
2023-08-21,6.377304816851392e-05
2023-08-22,0.00033016077941283584
2023-08-23,0.00021949262009002268
2023-08-24,-6.115082942415029e-05
2023-08-25,2.584434514574241e-05
2023-08-26,0.0003186977410223335
2023-08-27,8.285259536933154e-05
2023-08-28,0.00011402233212720604
2023-08-29,0.00020492367912083864
2023-08-30,-8.629081276012585e-05
2023-08-31,0.00033939414424821734
2023-09-01,0.00014803434896748513
2023-09-02,0.0002439935487927869
2023-09-03,
2023-09-04,7.299824937945232e-05
2023-09-05,7.18387818778865e-05
2023-09-06,-0.0001969089935300872
2023-09-07,0.000205027186893858
2023-09-08,0.00025479545001871884
2023-09-09,0.00021914935496170076
2023-09-10,1.0668018148862757e-05
2023-09-11,-5.3169645980233327e-05
2023-09-12,0.0001933108869707212
2023-09-13,0.0002143747260561213
2023-09-14,0.00016913810395635664
2023-09-15,8.866072312230244e-05
2023-09-16,7.310842192964628e-05
2023-09-17,
2023-09-18,
2023-09-19,0.0001804012426873669
2023-09-20,0.0004403724742587656
2023-09-21,0.0003984779759775847
2023-09-22,7.971675950102508e-05
2023-09-23,7.029010157566518e-05
2023-09-24,0.00017771011334843934
2023-09-25,0.00016092005535028875
2023-09-26,0.00010949677380267532
2023-09-27,-3.499150989227928e-05
2023-09-28,0.00014258189185056835
2023-09-29,0.0002901439438574016
2023-09-30,0.0003289973537903279
2023-10-01,0.00037584398523904383
2023-10-02,9.592471906216816e-05
2023-10-03,0.00017440307419747114
2023-10-04,0.0002161293086828664
2023-10-05,0.00021863997972104696
2023-10-06,0.00018622889183461663
2023-10-07,0.00010721580474637447
2023-10-08,9.448001947021112e-05
2023-10-09,0.0003027087659575045
2023-10-10,0.00016828520165290684
2023-10-11,-0.000108506137621589
2023-10-12,0.0003587834944482893
2023-10-13,0.00017959001706913114
2023-10-14,0.00026028824504464865
2023-10-15,9.941128519130872e-05
2023-10-16,4.060058927279897e-05
2023-10-17,-2.1037456008343725e-06
2023-10-18,0.0002346918627154082
2023-10-19,0.00012709721340797842
2023-10-20,0.00011133713269373402
2023-10-21,0.00029176732641644776
2023-10-22,0.00019807413627859205
2023-10-23,0.000236960404436104
2023-10-24,3.283911064499989e-05
2023-10-25,0.00011398612696211784
2023-10-26,0.0003006206825375557
2023-10-27,0.00011096648086095227
2023-10-28,0.0002483531425241381
2023-10-29,-5.087458703201264e-05
2023-10-30,0.00017077758093364537
2023-10-31,0.00010902449139393866
2023-11-01,0.0001962128299055621
2023-11-02,-8.511740452377126e-05
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,-1.5129496205190662e-05
2023-11-07,0.00021513931278605011
2023-11-08,0.00031855289125815034
2023-11-09,
2023-11-10,
2023-11-11,
2023-11-12,0.00015642399375792593
2023-11-13,0.00020628779020626095
2023-11-14,0.0002306025562575087
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-18,0.0003774194046854973
2023-11-19,0.0003779471153393388
2023-11-20,9.195756138069557e-05
2023-11-21,0.00017171115905512124
2023-11-22,0.0002133531670551747
2023-11-23,0.00022871969849802556
2023-11-24,
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,
2023-11-29,0.00023465078265871853
2023-11-30,0.00022457289742305875
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,0.0002529722405597568
2023-12-06,
2023-12-07,0.00012459293066058308
2023-12-08,
2023-12-09,
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,0.0002909944741986692
2023-12-16,0.000270618504146114
2023-12-17,0.0002274222788400948
2023-12-18,
2023-12-19,0.0003331136249471456
2023-12-20,0.00022876414004713297
2023-12-21,0.0004103989922441542
2023-12-22,
2023-12-23,5.461353066493757e-05
2023-12-24,0.00030725059332326055
2023-12-25,
2023-12-26,0.0003485331544652581
2023-12-27,0.0003254505281802267
2023-12-28,0.0003272808389738202
2023-12-29,
2023-12-30,
