date,NO2_mean,NO2_rolling30
2025-08-23 00:00:00+00:00,,
2025-08-24 00:00:00+00:00,4.033099143587448e-05,4.033099143587448e-05
2025-08-25 00:00:00+00:00,4.914385741964603e-05,4.473742442776026e-05
2025-08-26 00:00:00+00:00,5.955956448539809e-05,4.96781377803062e-05
2025-08-27 00:00:00+00:00,4.250263737048954e-05,4.7884262677852035e-05
2025-08-28 00:00:00+00:00,3.6768050939337205e-05,4.566102033014907e-05
2025-08-29 00:00:00+00:00,1.926583249336372e-05,4.126182235735152e-05
2025-08-30 00:00:00+00:00,3.552663383743493e-05,4.0442509711649146e-05
2025-08-31 00:00:00+00:00,1.7997540446616988e-05,3.7636888553520126e-05
2025-09-01 00:00:00+00:00,1.969937641137442e-05,3.5643831648837264e-05
2025-09-02 00:00:00+00:00,8.706719217061067e-06,3.2950120405659646e-05
2025-09-03 00:00:00+00:00,2.160608849435724e-05,3.191884477735943e-05
2025-09-04 00:00:00+00:00,1.9600056034643345e-05,3.0892279048799755e-05
2025-09-05 00:00:00+00:00,3.367864243547705e-05,3.110661469392878e-05
2025-09-06 00:00:00+00:00,2.8712899721641508e-05,3.0935635053051115e-05
2025-09-07 00:00:00+00:00,5.870410363554997e-05,3.278686629188437e-05
2025-09-08 00:00:00+00:00,6.394291328130446e-05,3.473411922872313e-05
2025-09-09 00:00:00+00:00,3.897021259844122e-05,3.498330119164772e-05
2025-09-10 00:00:00+00:00,3.4150286670150566e-05,3.49370226071201e-05
2025-09-11 00:00:00+00:00,2.7358154732086625e-05,3.4538134824223604e-05
2025-09-12 00:00:00+00:00,3.0737517563190494e-05,3.434810396117195e-05
2025-09-13 00:00:00+00:00,3.5406102941840686e-05,3.439848486501332e-05
2025-09-14 00:00:00+00:00,3.3704702659495965e-05,3.4366949310217074e-05
2025-09-15 00:00:00+00:00,4.502135178492088e-05,3.483018420042159e-05
2025-09-16 00:00:00+00:00,4.806940187336295e-05,3.538181827012748e-05
2025-09-17 00:00:00+00:00,5.668801318011794e-05,3.623406606652709e-05
2025-09-18 00:00:00+00:00,2.6904395740116755e-05,3.587523259243439e-05
2025-09-19 00:00:00+00:00,2.1124364400637923e-05,3.532890414088637e-05
2025-09-20 00:00:00+00:00,2.5205212240976957e-05,3.496734371588961e-05
2025-09-21 00:00:00+00:00,3.0655382832981445e-05,3.4818655409582425e-05
2025-09-22 00:00:00+00:00,2.693993018042282e-05,3.455603123527711e-05
2025-09-23 00:00:00+00:00,6.98584832813746e-05,3.5540280963460446e-05
2025-09-24 00:00:00+00:00,6.348610543985464e-05,3.60183558974674e-05
2025-09-25 00:00:00+00:00,2.346785767961344e-05,3.4815299003941254e-05
2025-09-26 00:00:00+00:00,2.4645741315466832e-05,3.422006913544048e-05
2025-09-27 00:00:00+00:00,3.40708145703309e-05,3.413016125647361e-05
2025-09-28 00:00:00+00:00,1.403524205408868e-05,3.395580824183111e-05
2025-09-29 00:00:00+00:00,2.8669971753157423e-05,3.372725283902186e-05
